P0,P1,P2,P3,P4,P5,P6,P7,P8,P9
0.21960808,0.469628099,0.420271669,0.563486983,0.275961891,1.126046207,0.479846384,1.326262284,0.821836041,0.524443237
0.139575871,0.273102224,0.102648865,0.399914331,0.312241792,0.704778341,0.294679186,0.67087886,0.476446958,0.45128797
0.510149616,,1.199896822,1.047917046,0.186388956,0.358179769,0.440802853,1.02060657,0.480355394,0.200556836
0.255988653,,0.543759672,0.558563182,0.522424496,0.561792015,0.472013322,0.489408796,0.666623992,0.738020685
,,0.353599134,0.876468076,0.723337968,0.204665049,0.381973929,,0.68168805,0.717626995
,,1.315376328,,0.279527191,0.347818828,0.354463197,,0.448643118,0.901423007
,,0.285175388,,0.504561966,,0.744338662,,,1.072502471
,,,,0.329653655,,0.820198836,,,
,,,,0.311988178,,0.405217977,,,
,,,,0.256242456,,,,,
,,,,0.349811632,,,,,
,,,,0.252640674,,,,,
